KM;LAT;LONG;ESTACA;TEXTO FORMATO GOOGLE;link para google maps
0,00;-22,514158;-44,700062;0,000000;-44.70006175,-22.51415834;https://www.google.com.br/maps/@-44.70006175,-22.51415834,20z
0,01;-22,514208;-44,700144;0,500000;-44.700143735,-22.514208;https://www.google.com.br/maps/@-44.700143735,-22.514208,20z
0,02;-22,514258;-44,700226;1,000000;-44.7002261815385,-22.5142576107692;https://www.google.com.br/maps/@-44.7002261815385,-22.5142576107692,20z
0,03;-22,514306;-44,700309;1,500000;-44.7003085861538,-22.51430586;https://www.google.com.br/maps/@-44.7003085861538,-22.51430586,20z
0,04;-22,514351;-44,700393;2,000000;-44.70039313,-22.51435141;https://www.google.com.br/maps/@-44.70039313,-22.51435141,20z
0,05;-22,514400;-44,700475;2,500000;-44.7004751385714,-22.5144000590476;https://www.google.com.br/maps/@-44.7004751385714,-22.5144000590476,20z
0,06;-22,514444;-44,700560;3,000000;-44.7005602172603,-22.5144435840411;https://www.google.com.br/maps/@-44.7005602172603,-22.5144435840411,20z
0,07;-22,514485;-44,700647;3,500000;-44.7006469985714,-22.5144846675;https://www.google.com.br/maps/@-44.7006469985714,-22.5144846675,20z
0,08;-22,514531;-44,700731;4,000000;-44.7007311931818,-22.5145307386364;https://www.google.com.br/maps/@-44.7007311931818,-22.5145307386364,20z
0,09;-22,514577;-44,700815;4,500000;-44.700815351358,-22.514577462716;https://www.google.com.br/maps/@-44.700815351358,-22.514577462716,20z
0,10;-22,514624;-44,700899;5,000000;-44.7008989788764,-22.5146235058427;https://www.google.com.br/maps/@-44.7008989788764,-22.5146235058427,20z
0,11;-22,514670;-44,700983;5,500000;-44.7009827693548,-22.514669945914;https://www.google.com.br/maps/@-44.7009827693548,-22.514669945914,20z
0,12;-22,514717;-44,701067;6,000000;-44.7010665030612,-22.5147166757143;https://www.google.com.br/maps/@-44.7010665030612,-22.5147166757143,20z
0,13;-22,514764;-44,701150;6,500000;-44.7011500238776,-22.5147639828571;https://www.google.com.br/maps/@-44.7011500238776,-22.5147639828571,20z
0,14;-22,514812;-44,701233;7,000000;-44.7012331570588,-22.5148116164706;https://www.google.com.br/maps/@-44.7012331570588,-22.5148116164706,20z
0,15;-22,514860;-44,701316;7,500000;-44.7013157947619,-22.5148600268571;https://www.google.com.br/maps/@-44.7013157947619,-22.5148600268571,20z
0,16;-22,514908;-44,701399;8,000000;-44.7013991837288,-22.5149082849153;https://www.google.com.br/maps/@-44.7013991837288,-22.5149082849153,20z
0,17;-22,514955;-44,701483;8,500000;-44.7014826252632,-22.5149552215789;https://www.google.com.br/maps/@-44.7014826252632,-22.5149552215789,20z
0,18;-22,515002;-44,701566;9,000000;-44.701566200339,-22.5150016523729;https://www.google.com.br/maps/@-44.701566200339,-22.5150016523729,20z
0,19;-22,515048;-44,701650;9,500000;-44.7016500019672,-22.5150478198361;https://www.google.com.br/maps/@-44.7016500019672,-22.5150478198361,20z
0,20;-22,515093;-44,701735;10,000000;-44.7017347642623,-22.5150931313115;https://www.google.com.br/maps/@-44.7017347642623,-22.5150931313115,20z
0,21;-22,515140;-44,701818;10,500000;-44.7018184519048,-22.515139701746;https://www.google.com.br/maps/@-44.7018184519048,-22.515139701746,20z
0,22;-22,515187;-44,701902;11,000000;-44.7019021296899,-22.5151865320155;https://www.google.com.br/maps/@-44.7019021296899,-22.5151865320155,20z
0,23;-22,515233;-44,701986;11,500000;-44.7019858925581,-22.5152334467442;https://www.google.com.br/maps/@-44.7019858925581,-22.5152334467442,20z
0,24;-22,515280;-44,702070;12,000000;-44.7020696778295,-22.5152803521705;https://www.google.com.br/maps/@-44.7020696778295,-22.5152803521705,20z
0,25;-22,515327;-44,702153;12,500000;-44.702152856124,-22.515327173876;https://www.google.com.br/maps/@-44.702152856124,-22.515327173876,20z
0,26;-22,515374;-44,702236;13,000000;-44.7022364959055,-22.5153743440945;https://www.google.com.br/maps/@-44.7022364959055,-22.5153743440945,20z
0,27;-22,515421;-44,702320;13,500000;-44.7023200355906,-22.5154214047244;https://www.google.com.br/maps/@-44.7023200355906,-22.5154214047244,20z
0,28;-22,515468;-44,702403;14,000000;-44.7024034028571,-22.5154683835714;https://www.google.com.br/maps/@-44.7024034028571,-22.5154683835714,20z
0,29;-22,515516;-44,702487;14,500000;-44.7024867880645,-22.5155155867742;https://www.google.com.br/maps/@-44.7024867880645,-22.5155155867742,20z
0,30;-22,515563;-44,702571;15,000000;-44.7025705945161,-22.5155632641935;https://www.google.com.br/maps/@-44.7025705945161,-22.5155632641935,20z
0,31;-22,515611;-44,702654;15,500000;-44.7026540072131,-22.5156105083607;https://www.google.com.br/maps/@-44.7026540072131,-22.5156105083607,20z
0,32;-22,515658;-44,702737;16,000000;-44.7027374173504,-22.5156576305128;https://www.google.com.br/maps/@-44.7027374173504,-22.5156576305128,20z
0,33;-22,515705;-44,702821;16,500000;-44.7028207333333,-22.5157047266667;https://www.google.com.br/maps/@-44.7028207333333,-22.5157047266667,20z
0,34;-22,515752;-44,702904;17,000000;-44.7029038643636,-22.515751856;https://www.google.com.br/maps/@-44.7029038643636,-22.515751856,20z
0,35;-22,515799;-44,702987;17,500000;-44.7029873760377,-22.5157992250943;https://www.google.com.br/maps/@-44.7029873760377,-22.5157992250943,20z
0,36;-22,515846;-44,703071;18,000000;-44.7030708440594,-22.51584639;https://www.google.com.br/maps/@-44.7030708440594,-22.51584639,20z
0,37;-22,515893;-44,703154;18,500000;-44.7031542988298,-22.5158934220213;https://www.google.com.br/maps/@-44.7031542988298,-22.5158934220213,20z
0,38;-22,515941;-44,703238;19,000000;-44.7032380404598,-22.5159409634483;https://www.google.com.br/maps/@-44.7032380404598,-22.5159409634483,20z
0,39;-22,515989;-44,703321;19,500000;-44.7033207842857,-22.5159893464286;https://www.google.com.br/maps/@-44.7033207842857,-22.5159893464286,20z
0,40;-22,516039;-44,703402;20,000000;-44.7034022140741,-22.516039207037;https://www.google.com.br/maps/@-44.7034022140741,-22.516039207037,20z
0,41;-22,516092;-44,703483;20,500000;-44.7034827620896,-22.5160920874627;https://www.google.com.br/maps/@-44.7034827620896,-22.5160920874627,20z
0,42;-22,516147;-44,703561;21,000000;-44.7035606595455,-22.516146835;https://www.google.com.br/maps/@-44.7035606595455,-22.516146835,20z
0,43;-22,516199;-44,703641;21,500000;-44.703641331,-22.516198795;https://www.google.com.br/maps/@-44.703641331,-22.516198795,20z
0,44;-22,516242;-44,703727;22,000000;-44.7037270074576,-22.5162418274576;https://www.google.com.br/maps/@-44.7037270074576,-22.5162418274576,20z
0,45;-22,516280;-44,703815;22,500000;-44.7038148978571,-22.51627984;https://www.google.com.br/maps/@-44.7038148978571,-22.51627984,20z
0,46;-22,516320;-44,703902;23,000000;-44.7039022107229,-22.5163204827711;https://www.google.com.br/maps/@-44.7039022107229,-22.5163204827711,20z
0,47;-22,516362;-44,703988;23,500000;-44.7039884996907,-22.5163619757732;https://www.google.com.br/maps/@-44.7039884996907,-22.5163619757732,20z
0,48;-22,516403;-44,704075;24,000000;-44.7040754958491,-22.5164030627358;https://www.google.com.br/maps/@-44.7040754958491,-22.5164030627358,20z
0,49;-22,516445;-44,704161;24,500000;-44.704161180614,-22.5164453503509;https://www.google.com.br/maps/@-44.704161180614,-22.5164453503509,20z
0,50;-22,516489;-44,704246;25,000000;-44.7042463869231,-22.5164892420513;https://www.google.com.br/maps/@-44.7042463869231,-22.5164892420513,20z
0,51;-22,516535;-44,704331;25,500000;-44.7043307497531,-22.5165347712346;https://www.google.com.br/maps/@-44.7043307497531,-22.5165347712346,20z
0,52;-22,516581;-44,704415;26,000000;-44.7044145769136,-22.5165811354321;https://www.google.com.br/maps/@-44.7044145769136,-22.5165811354321,20z
0,53;-22,516627;-44,704498;26,500000;-44.7044984040741,-22.5166274996296;https://www.google.com.br/maps/@-44.7044984040741,-22.5166274996296,20z
0,54;-22,516674;-44,704582;27,000000;-44.7045822312346,-22.5166738638272;https://www.google.com.br/maps/@-44.7045822312346,-22.5166738638272,20z
0,55;-22,516720;-44,704666;27,500000;-44.7046660583951,-22.5167202280247;https://www.google.com.br/maps/@-44.7046660583951,-22.5167202280247,20z
0,56;-22,516767;-44,704750;28,000000;-44.7047495687097,-22.5167672183871;https://www.google.com.br/maps/@-44.7047495687097,-22.5167672183871,20z
