ID do NOX;Latitude;Longitude
Dados de teste 1;0;0
Dados de teste 2;0;0
Dados de teste 3;-23,442266;-46,442272
Dados de teste 4;-23,224678;-45,905712
Dados de teste 5;-22,930203;-45,36159
Dados de teste 6;-23,352551;-46,19982
Dados de teste 7;-23,4415;-46,443199
Dados de teste 8;-23,261405;-45,950049
Dados de teste 9;-23,255329;-45,943126
Dados de teste 10;-23,255589;-45,943544
Dados de teste 11;0;0
Dados de teste 12;0;0
Dados de teste 13;-23,4548;-46,4734
Dados de teste 14;-22,518395;-44,707726
Dados de teste 15;0;0
Dados de teste 16;0;0
Dados de teste 17;-23,490525;-46,549387
Dados de teste 18;0;0
Dados de teste 19;-23,46977;-46,51218
Dados de teste 20;-46,430099;-46,430099
Dados de teste 21;-23,255591;-45,943525
Dados de teste 22;-22,519067;-44,708995
Dados de teste 23;0;0
Dados de teste 24;-23,332048;-46,136821
Dados de teste 25;0;0
Dados de teste 26;-23,441445;-46,442346
Dados de teste 27;-23,49311;-46,551923
Dados de teste 28;-22,488989;-44,553865
Dados de teste 29;-23,469067;-46,510842
Dados de teste 30;-22,462141;-44,478881
Dados de teste 31;0;0
Dados de teste 32;-23,4549;-46,473164
Dados de teste 33;-23,233838;-45,915362
Dados de teste 34;-23,441346;-46,443009
Dados de teste 35;-22,92985;-45,36113
Dados de teste 36;0;0
Dados de teste 37;0;0
Dados de teste 38;0;0
Dados de teste 39;-23,454694;-46,473264
Dados de teste 40;-23,27012;-45,966676
Dados de teste 41;0;0
Dados de teste 42;0;0
Dados de teste 43;0;0
Dados de teste 44;0;0
Dados de teste 45;-23,224853;-45,905942
Dados de teste 46;0;0
Dados de teste 47;-23,231165;-45,911923
Dados de teste 48;-22,494708;-44,570061
Dados de teste 49;0;0
Dados de teste 50;-23,401766;-46,311681
Dados de teste 51;0;0
Dados de teste 52;-23,441799;-46,4436
Dados de teste 53;-23,465053;-46,499131
Dados de teste 54;-23,255329;-45,943126
Dados de teste 55;0;0
Dados de teste 56;-22,517495;-44,706245
Dados de teste 57;0;0
Dados de teste 58;-23,229847;-45,910992
Dados de teste 59;0;0
Dados de teste 60;0;0
Dados de teste 61;-22,517676;-44,706509
Dados de teste 62;0;0
Dados de teste 63;0;0
Dados de teste 64;0;0
Dados de teste 65;-23,352545;-46,199804
Dados de teste 66;0;0
Dados de teste 67;-23,232042;-45,913545
Dados de teste 68;0;0
Dados de teste 69;0;0
Dados de teste 70;-23,106453;-45,697506
Dados de teste 71;0;0
Dados de teste 72;-23,232462;-45,914077
Dados de teste 73;0;0
Dados de teste 74;0;0
Dados de teste 75;0;0
Dados de teste 76;-23,229189;-45,90981
Dados de teste 77;0;0
Dados de teste 78;-23,224202;-45,90486
Dados de teste 79;-23,454599;-46,472801
Dados de teste 80;0;0
Dados de teste 81;-23,246224;-45,929024
Dados de teste 82;-23,352501;-46,181211
Dados de teste 83;-22,516671;-44,704745
Dados de teste 84;-23,270121;-45,966677
Dados de teste 85;-23,454672;-46,472622
